Raport proby PiezoTester V2.0
Data rozpoczecia,2026-04-18 19:45:43
Data zakonczenia,2026-04-18 19:59:06
Czas trwania,13:22
Liczba probek,50
Typ testu,standard

Statystyki
Parametr,Srednia,Min,Max,Odch. std.
Obciazenie [g],1379.099,1322.734,1407.017,14.019
Rezystancja,99208.837,88962.070,117467.469,6200.312

date,time,idx,mode,phase,cycle,point,target_g,pwm_duty,pwm_pct,mass_g,resistance,load_v,zero_v,relative_v,sensor_v
2026-04-18,19:46:00,1,standard,none,0,0,,8191,100.000000,1365.120000,96018.828000,0.093616694,0.071085662,0.164702356,1.617678165
2026-04-18,19:46:16,2,standard,none,0,0,,8191,100.000000,1388.915000,93782.430000,0.095248491,0.071069255,0.166317746,1.598248482
2026-04-18,19:46:32,3,standard,none,0,0,,8191,100.000000,1385.087000,94796.188000,0.094985999,0.071096577,0.166082576,1.607111216
2026-04-18,19:46:48,4,standard,none,0,0,,8191,100.000000,1382.262000,99052.773000,0.094792254,0.071101807,0.165894061,1.643338561
2026-04-18,19:47:05,5,standard,none,0,0,,8191,100.000000,1322.734000,91468.578000,0.090709955,0.071095020,0.161804974,1.577667713
2026-04-18,19:47:21,6,standard,none,0,0,,8191,100.000000,1362.932000,90613.125000,0.093466625,0.071107015,0.164573640,1.569932222
2026-04-18,19:47:37,7,standard,none,0,0,,8191,100.000000,1407.017000,94534.289000,0.096489921,0.071108252,0.167598173,1.604830503
2026-04-18,19:47:53,8,standard,none,0,0,,8191,100.000000,1334.380000,93971.570000,0.091508657,0.071126595,0.162635252,1.599909067
2026-04-18,19:48:10,9,standard,none,0,0,,8191,100.000000,1395.007000,96021.109000,0.095666245,0.071089625,0.166755870,1.617697835
2026-04-18,19:48:26,10,standard,none,0,0,,8191,100.000000,1397.865000,93364.805000,0.095862255,0.071126238,0.166988492,1.594570279
2026-04-18,19:48:42,11,standard,none,0,0,,8191,100.000000,1374.860000,96183.391000,0.094284646,0.071117379,0.165402025,1.619090319
2026-04-18,19:48:59,12,standard,none,0,0,,8191,100.000000,1396.639000,103411.461000,0.095778160,0.071109362,0.166887522,1.678862572
2026-04-18,19:49:15,13,standard,none,0,0,,8191,100.000000,1390.258000,94172.766000,0.095340580,0.071106225,0.166446805,1.601671934
