Raport proby PiezoTester V2.0
Data rozpoczecia,2026-04-18 19:31:27
Data zakonczenia,2026-04-18 19:34:37
Czas trwania,03:10
Liczba probek,10
Typ testu,ramp
Obciazenie wstepne [g],500.000
Obciazenie koncowe [g],1180.400

Statystyki
Parametr,Srednia,Min,Max,Odch. std.
Obciazenie [g],850.564,509.100,1184.605,214.149
Rezystancja,120677.180,94391.328,155723.438,20185.916

date,time,idx,mode,phase,cycle,point,target_g,pwm_duty,pwm_pct,mass_g,resistance,load_v,zero_v,relative_v,sensor_v
2026-04-18,19:31:44,1,ramp,none,0,0,500.000000,7652,93.420000,509.100000,155723.438000,0.034912892,0.070999108,0.105912000,2.010677099
2026-04-18,19:32:00,2,ramp,none,0,0,575.600000,7706,94.079000,592.981000,150528.031000,0.040665232,0.070993505,0.111658737,1.983923912
2026-04-18,19:32:22,3,ramp,none,0,0,651.200000,7753,94.653000,654.583000,135330.047000,0.044889756,0.071014121,0.115903877,1.898877501
2026-04-18,19:32:39,4,ramp,none,0,0,726.800000,7810,95.349000,748.004000,130587.961000,0.051296361,0.070997447,0.122293808,1.870045185
2026-04-18,19:33:07,5,ramp,none,0,0,802.400000,7845,95.776000,833.251000,112103.914000,0.057142347,0.071046114,0.128188461,1.745345354
2026-04-18,19:33:30,6,ramp,none,0,0,878.000000,7893,96.362000,865.016000,115281.195000,0.059320726,0.071027465,0.130348191,1.768305421
2026-04-18,19:33:52,7,ramp,none,0,0,953.600000,7946,97.009000,970.506000,109545.445000,0.066555016,0.071043350,0.137598366,1.726350546
2026-04-18,19:34:09,8,ramp,none,0,0,1029.200000,8014,97.839000,1056.792000,101341.984000,0.072472319,0.071045786,0.143518105,1.662187934
2026-04-18,19:34:25,9,ramp,none,0,0,1104.800000,8068,98.498000,1090.803000,101938.461000,0.074804693,0.070991129,0.145795822,1.667029023
2026-04-18,19:34:37,10,ramp,none,0,0,1180.400000,8108,98.987000,1184.605000,94391.328000,0.081237420,0.071053579,0.152291000,1.603582859
