Raport proby PiezoTester V2.0
Data rozpoczecia,2026-04-18 20:04:01
Data zakonczenia,2026-04-18 20:23:42
Czas trwania,19:40
Liczba probek,49
Typ testu,ramp
Obciazenie wstepne [g],500.000
Obciazenie koncowe [g],1100.000

Statystyki
Parametr,Srednia,Min,Max,Odch. std.
Obciazenie [g],812.421,528.284,1109.267,182.098
Rezystancja,145770.947,101147.180,202470.750,23012.314

date,time,idx,mode,phase,cycle,point,target_g,pwm_duty,pwm_pct,mass_g,resistance,load_v,zero_v,relative_v,sensor_v
2026-04-18,20:04:30,1,ramp,none,0,0,500.000000,7631,93.163000,532.124000,188325.203000,0.036491789,0.071050197,0.107541986,2.156537533
2026-04-18,20:04:53,2,ramp,none,0,0,512.245000,7637,93.236000,528.284000,162955.438000,0.036228493,0.071061291,0.107289784,2.046156406
2026-04-18,20:05:09,3,ramp,none,0,0,524.490000,7648,93.371000,539.356000,202470.750000,0.036987782,0.071000472,0.107988253,2.210038900
2026-04-18,20:05:38,4,ramp,none,0,0,536.735000,7650,93.395000,531.537000,188617.344000,0.036451548,0.071079142,0.107530691,2.157695532
2026-04-18,20:06:00,5,ramp,none,0,0,548.980000,7663,93.554000,562.431000,186308.875000,0.038570173,0.071035087,0.109605260,2.148480654
2026-04-18,20:06:23,6,ramp,none,0,0,561.224000,7671,93.652000,570.894000,176336.547000,0.039150566,0.071051799,0.110202365,2.106903315
2026-04-18,20:06:45,7,ramp,none,0,0,573.469000,7677,93.725000,573.396000,171055.984000,0.039322153,0.071046144,0.110368297,2.083647728
2026-04-18,20:07:08,8,ramp,none,0,0,585.714000,7688,93.859000,595.348000,173033.859000,0.040827528,0.071052000,0.111879528,2.092463732
2026-04-18,20:07:30,9,ramp,none,0,0,597.959000,7695,93.945000,608.630000,172250.562000,0.041738398,0.071038134,0.112776533,2.088987589
2026-04-18,20:07:53,10,ramp,none,0,0,610.204000,7699,93.993000,610.439000,170582.828000,0.041862488,0.071046248,0.112908736,2.081519604
2026-04-18,20:08:09,11,ramp,none,0,0,622.449000,7716,94.201000,635.519000,159646.812000,0.043582365,0.071056575,0.114638939,2.030170202
2026-04-18,20:08:31,12,ramp,none,0,0,634.694000,7720,94.250000,641.743000,162320.453000,0.044009194,0.071063325,0.115072519,2.043119669
2026-04-18,20:09:00,13,ramp,none,0,0,646.939000,7722,94.274000,659.432000,170627.812000,0.045222282,0.071062967,0.116285250,2.081722260
2026-04-18,20:09:29,14,ramp,none,0,0,659.184000,7725,94.311000,666.763000,155569.125000,0.045725040,0.071061775,0.116786815,2.009898186
2026-04-18,20:09:45,15,ramp,none,0,0,671.429000,7748,94.592000,683.868000,159011.281000,0.046898082,0.071052648,0.117950730,2.027052641
2026-04-18,20:10:14,16,ramp,none,0,0,683.673000,7739,94.482000,671.128000,171189.984000,0.046024337,0.071043305,0.117067643,2.084249020
2026-04-18,20:10:36,17,ramp,none,0,0,695.918000,7754,94.665000,709.050000,147749.828000,0.048624955,0.071081534,0.119706489,1.969157219
2026-04-18,20:10:59,18,ramp,none,0,0,708.163000,7761,94.750000,698.312000,161707.781000,0.047888555,0.071067423,0.118955977,2.040175676
2026-04-18,20:11:21,19,ramp,none,0,0,720.408000,7775,94.921000,739.550000,140645.531000,0.050716594,0.071068160,0.121784754,1.929844737
2026-04-18,20:11:44,20,ramp,none,0,0,732.653000,7782,95.007000,743.821000,140732.188000,0.051009484,0.071078211,0.122087695,1.930338264
2026-04-18,20:12:06,21,ramp,none,0,0,744.898000,7792,95.129000,763.652000,139859.375000,0.052369423,0.071098335,0.123467758,1.925351262
2026-04-18,20:12:29,22,ramp,none,0,0,757.143000,7795,95.165000,768.219000,143547.516000,0.052682623,0.071073391,0.123756014,1.946180463
2026-04-18,20:12:45,23,ramp,none,0,0,769.388000,7813,95.385000,785.674000,147933.109000,0.053879671,0.071052432,0.124932103,1.970141530
2026-04-18,20:13:07,24,ramp,none,0,0,781.633000,7815,95.410000,790.343000,142045.016000,0.054199859,0.071103334,0.125303194,1.937771559
2026-04-18,20:13:30,25,ramp,none,0,0,793.878000,7821,95.483000,804.877000,141127.625000,0.055196546,0.071099229,0.126295775,1.932585716
2026-04-18,20:13:52,26,ramp,none,0,0,806.122000,7829,95.581000,820.169000,138924.219000,0.056245260,0.071103089,0.127348348,1.919967651
2026-04-18,20:14:15,27,ramp,none,0,0,818.367000,7838,95.690000,834.640000,144720.094000,0.057237655,0.071114510,0.128352165,1.952671051
2026-04-18,20:14:31,28,ramp,none,0,0,830.612000,7857,95.922000,852.373000,137472.297000,0.058453716,0.071050875,0.129504591,1.911524773
2026-04-18,20:14:47,29,ramp,none,0,0,842.857000,7866,96.032000,859.095000,141458.703000,0.058914714,0.071091332,0.130006045,1.934461832
2026-04-18,20:17:40,30,ramp,none,0,0,867.347000,7861,95.971000,886.810000,131286.297000,0.060815364,0.071126118,0.131941482,1.874365449
2026-04-18,20:18:03,31,ramp,none,0,0,879.592000,7877,96.167000,901.990000,137454.875000,0.061856329,0.071124732,0.132981062,1.911422968
2026-04-18,20:18:25,32,ramp,none,0,0,891.837000,7883,96.240000,906.318000,152594.859000,0.062153108,0.071118943,0.133272052,1.994698763
2026-04-18,20:18:48,33,ramp,none,0,0,904.082000,7888,96.301000,903.135000,141782.656000,0.061934851,0.071126096,0.133060947,1.936292529
2026-04-18,20:19:04,34,ramp,none,0,0,916.327000,7911,96.582000,927.331000,128870.453000,0.063594162,0.071094081,0.134688243,1.859307647
2026-04-18,20:19:27,35,ramp,none,0,0,928.571000,7907,96.533000,943.090000,137954.562000,0.064674854,0.071147636,0.135822490,1.914340615
2026-04-18,20:19:43,36,ramp,none,0,0,940.816000,7930,96.814000,953.920000,128206.430000,0.065417565,0.071125545,0.136543110,1.855112910
2026-04-18,20:19:59,37,ramp,none,0,0,953.061000,7944,96.984000,976.097000,126522.344000,0.066938430,0.071111187,0.138049617,1.844364047
2026-04-18,20:20:22,38,ramp,none,0,0,965.306000,7936,96.887000,971.816000,123344.469000,0.066644855,0.071128838,0.137773693,1.823639035
2026-04-18,20:20:38,39,ramp,none,0,0,977.551000,7958,97.155000,1005.265000,122119.359000,0.068938673,0.071101457,0.140040129,1.815490842
2026-04-18,20:20:54,40,ramp,none,0,0,989.796000,7967,97.265000,1016.050000,116599.781000,0.069678321,0.071092099,0.140770420,1.777636051
2026-04-18,20:21:10,41,ramp,none,0,0,1002.041000,7975,97.363000,1025.614000,116629.023000,0.070334174,0.071100168,0.141434342,1.777841687
2026-04-18,20:21:27,42,ramp,none,0,0,1014.286000,7985,97.485000,1044.479000,113154.023000,0.071627863,0.071099691,0.142727554,1.753009558
2026-04-18,20:21:49,43,ramp,none,0,0,1026.531000,7979,97.412000,1051.745000,128557.016000,0.072126202,0.071131922,0.143258125,1.857330680
2026-04-18,20:22:12,44,ramp,none,0,0,1038.776000,7982,97.448000,1056.380000,120427.000000,0.072444059,0.071150266,0.143594325,1.804085851
